BN	TN	seqType	Horizon	FT	PrepTime	press0	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	press12	press13	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	response12	response13	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	pressTime12	pressTime13	timeThreshold2	timeThreshold3	timeThreshold4	timeThreshold14	points	Gain1	Gain2	Gain3	Gain4	Gain5	StimTimeLim	
2	21	2	2	1	3000	5	4	2	3	1	5	4	1	3	2	4	5	1	3	54231541324513	0	5000	4904.000	614.000	0	5	4	2	3	1	5	4	1	3	2	4	5	1	3	5618.000	5802.000	6266.000	6488.000	6766.000	7522.000	8012.000	8312.000	8588.000	9014.000	9272.000	9632.000	10014.000	10390.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	22	2	5	1	3000	1	3	4	2	5	1	3	5	4	2	1	3	5	4	13425135421354	0	5000	3524.000	542.000	0	1	3	4	2	5	1	3	5	4	2	1	3	5	4	5546.000	5720.000	5924.000	6110.000	6326.000	6532.000	6850.000	7148.000	7706.000	7932.000	8170.000	8394.000	8750.000	8966.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	23	2	3	1	3000	2	1	5	3	4	2	3	5	1	4	3	5	2	4	21534235143524	0	5000	4540.000	650.000	0	2	1	5	3	4	2	3	5	1	4	3	5	2	4	5654.000	5832.000	6006.000	6332.000	6854.000	7128.000	7390.000	8434.000	8778.000	8946.000	9274.000	9522.000	9894.000	10104.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	24	2	8	1	3000	1	3	5	2	4	2	3	5	1	4	1	2	4	5	13524235141245	0	5000	4268.000	466.000	1	1	3	5	2	4	3	3	5	1	4	1	2	4	5	5470.000	5620.000	5812.000	6068.000	6294.000	6620.000	7486.000	7750.000	8346.000	8550.000	8818.000	9098.000	9356.000	9576.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
2	25	2	1	1	3000	4	3	1	5	2	3	1	5	4	2	3	1	4	2	43152315423142	0	5000	6196.000	482.000	0	4	3	1	5	2	3	1	5	4	2	3	1	4	2	5486.000	5932.000	6412.000	6992.000	7436.000	7858.000	8328.000	8830.000	9272.000	9800.000	10196.000	10650.000	11126.000	11572.000	800.000	1100.000	1500.000	5020.400	1	1.000	1.000	1.000	1.000	1.000	15000	
2	26	2	3	1	3000	2	5	1	3	4	2	3	1	4	5	3	2	4	1	25134231453241	0	5000	5670.000	472.000	0	2	5	1	3	4	2	3	1	4	5	3	2	4	1	5476.000	6854.000	7494.000	7734.000	8040.000	8374.000	8636.000	9082.000	9544.000	9898.000	10140.000	10462.000	10756.000	11018.000	800.000	1100.000	1500.000	5020.400	2	1.000	1.000	1.000	1.000	1.000	15000	
2	27	2	8	1	3000	3	1	4	5	2	4	5	3	1	2	4	2	1	5	31452453124215	0	5000	4646.000	702.000	0	3	1	4	5	2	4	5	3	1	2	4	2	1	5	5706.000	5920.000	6122.000	6352.000	6650.000	6908.000	7344.000	7584.000	7856.000	8160.000	8448.000	8814.000	9922.000	10204.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
3	1	1	5	1	3000	1	4	2	5	3	4	2	3	1	5	2	1	3	4	14253423152134	0	5000	3484.000	460.000	1	1	4	2	5	3	4	2	3	1	5	2	1	4	3	5464.000	5676.000	5920.000	6142.000	6386.000	6640.000	6934.000	7120.000	7340.000	7636.000	8012.000	8196.000	8390.000	8824.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
3	2	1	6	1	3000	2	4	3	1	5	4	1	5	2	3	1	5	2	4	24315415231524	0	5000	4184.000	584.000	1	2	3	3	1	5	4	1	5	2	3	1	5	2	4	5588.000	5936.000	6830.000	7064.000	7372.000	7678.000	7962.000	8226.000	8522.000	8702.000	8938.000	9222.000	9514.000	9676.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
3	3	1	3	1	3000	2	4	3	5	1	4	1	5	2	3	5	4	1	3	24351415235413	0	5000	4210.000	564.000	1	2	3	3	5	1	4	1	5	2	3	5	4	1	3	5568.000	5972.000	6716.000	6946.000	7164.000	7432.000	7704.000	7956.000	8240.000	8444.000	8908.000	9138.000	9394.000	9646.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
